nome,preco,imagem,descricao
"Camiseta Básica",49.90,,"Camiseta 100% algodão, malha penteada e confortável para uso diário (mais de 30 caracteres)."
"Mouse Óptico USB",79.90,,"Mouse 1600 DPI, design ambidestro e cabo trançado resistente para escritórios e casas."
"Teclado Mecânico ABNT2",249.90,,"Teclado com switches táteis, layout ABNT2 e iluminação ajustável para longas sessões de digitação."
"Fone de Ouvido Bluetooth",159.90,,"Conexão estável, bateria de longa duração e som equilibrado para uso no trabalho e no lazer."
"Monitor LED 24"" Full HD",799.90,,"Tela de 24 polegadas, resolução Full HD e bordas finas para produtividade e entretenimento diário."
"Câmera Webcam 1080p",199.90,,"Imagem nítida em 1080p, microfone integrado e ajuste de ângulo para reuniões e chamadas de vídeo."
"Mochila Para Notebook 15,6""",129.90,,"Compartimento acolchoado, tecido resistente à água e bolsos organizadores para o dia a dia."
"Suporte Articulado p/ Monitor",189.90,,"Ajuste de altura e inclinação, montagem VESA e estrutura reforçada para ergonomia e conforto."
"Hub USB-C 6 em 1",149.90,,"Portas HDMI, USB e leitor de cartões, corpo compacto em alumínio para ampliar a conectividade."
"Carregador Rápido 20W",89.90,,"Tecnologia de carga rápida, proteção contra sobrecarga e design leve para levar na mochila."
"Cabo HDMI 2.1 2m",59.90,,"Suporte a 4K/120Hz, alta largura de banda e conectores reforçados para uma conexão confiável."
"SSD NVMe 500GB",349.90,,"Leituras rápidas, inicialização ágil e melhor desempenho geral em aplicações e jogos pesados."
"HD Externo 2TB",399.90,,"Armazenamento portátil, corpo resistente e compatibilidade com múltiplas plataformas e sistemas."
"Notebook Cooler Base",99.90,,"Ventoinhas silenciosas, ajuste de inclinação e superfície ampla para melhorar a refrigeração."
"Teclado Numérico USB",69.90,,"Layout completo, teclas macias e instalação simples para planilhas, finanças e produtividade."
"Mousepad Gamer Grande",59.90,,"Superfície de tecido microtexturizada, base emborrachada e bordas reforçadas para durabilidade."
"Adaptador Bluetooth USB",49.90,,"Conecta periféricos sem fio, baixo consumo de energia e alcance estável em ambientes domésticos."
"Repetidor Wi‑Fi AC1200",159.90,,"Amplia o sinal sem fio, instalação rápida e antenas externas para melhor cobertura da casa."
"Filtro de Linha 6 Tomadas",79.90,,"Proteção contra surtos, chave liga/desliga e cabo robusto para equipamentos eletrônicos."
"Lâmpada LED Inteligente",89.90,,"Controle por aplicativo, ajustes de cor e automações simples para ambientes mais confortáveis."
"Smartwatch Esportivo",299.90,,"Monitoramento de atividades, notificações no pulso e bateria para vários dias de utilização."
"Suporte p/ Celular de Mesa",39.90,,"Base estável, ângulo ajustável e construção resistente para videochamadas e consumo de mídia."
